establishment_id,sequence_num,establishment_type,region,days_since_last_inspection,prev_inspection_count,prev_violation_count,prev_critical_violation_count,prev_major_violation_count,prev_minor_violation_count,unresolved_violation_count,recurring_violation_count,temp_control_violation_count,sanitation_violation_count,pest_violation_count,failed_corrective_action_count,corrective_action_success_rate,target_serious_violation
est-001,2,Hotel,Mission District,83,1,1,1,0,0,0,1,1,0,0,0,1.0,1
est-001,3,Hotel,Mission District,91,2,3,2,0,0,1,2,2,0,0,1,0.5,1
est-001,4,Hotel,Mission District,67,3,4,2,1,0,1,2,2,1,0,1,0.6666666666666666,1
est-001,5,Hotel,Mission District,34,4,7,3,1,0,1,2,3,1,0,1,0.75,1
est-001,6,Hotel,Mission District,27,5,9,4,1,0,1,3,4,1,0,1,0.8,1
est-001,7,Hotel,Mission District,19,6,10,5,1,0,2,4,5,1,0,2,0.6666666666666666,1
est-001,8,Hotel,Mission District,51,7,13,6,1,0,3,4,6,1,0,3,0.5714285714285714,1
est-002,2,Cafe,Marina,24,1,0,0,0,0,0,0,0,0,0,0,1.0,0
est-002,3,Cafe,Marina,62,2,0,0,0,0,0,0,0,0,0,0,1.0,0
est-002,4,Cafe,Marina,60,3,0,0,0,0,0,0,0,0,0,0,1.0,0
est-002,5,Cafe,Marina,99,4,0,0,0,0,0,0,0,0,0,0,1.0,0
est-002,6,Cafe,Marina,96,5,0,0,0,0,0,0,0,0,0,0,1.0,1
est-002,7,Cafe,Marina,62,6,3,1,0,0,1,0,1,0,0,1,0.8333333333333334,1
est-002,8,Cafe,Marina,55,7,6,1,1,0,2,0,1,1,0,2,0.7142857142857143,1
est-003,2,School/College Cafeteria,Marina,105,1,0,0,0,0,0,0,0,0,0,0,1.0,0
est-003,3,School/College Cafeteria,Marina,64,2,0,0,0,0,0,0,0,0,0,0,1.0,0
est-003,4,School/College Cafeteria,Marina,32,3,0,0,0,0,0,0,0,0,0,0,1.0,0
est-003,5,School/College Cafeteria,Marina,85,4,1,0,0,1,0,0,0,0,0,0,1.0,0
est-003,6,School/College Cafeteria,Marina,68,5,1,0,0,1,0,0,0,0,0,0,1.0,0
est-003,7,School/College Cafeteria,Marina,42,6,1,0,0,1,0,0,0,0,0,0,1.0,0
est-003,8,School/College Cafeteria,Marina,77,7,2,0,0,2,0,0,0,0,0,0,1.0,1
est-004,2,Bakery,Richmond,84,1,2,1,0,0,1,1,1,0,0,1,0.0,0
est-004,3,Bakery,Richmond,106,2,3,1,0,1,1,1,1,0,0,1,0.5,1
est-004,4,Bakery,Richmond,57,3,6,1,1,1,1,1,1,1,0,1,0.6666666666666666,1
est-004,5,Bakery,Richmond,106,4,8,2,1,1,1,2,2,1,0,1,0.75,1
est-004,6,Bakery,Richmond,27,5,11,2,2,1,1,2,2,2,0,1,0.8,1
